generation,best_cost,avg_cost,worst_cost,best_coverage,avg_coverage,worst_coverage,best_distance,avg_distance,worst_distance,avg_sites,min_sites,max_sites
0,31421197.48677645,227194009.7712411,476242752.15133744,283.55934794938275,283.5593479493828,283.55934794938275,0.7747701238552646,1.1368036258586556,1.9331870602771688,49.4,8.0,100.0
1,31421197.48677645,193936977.48990113,454307523.053753,283.55934794938275,283.5593479493828,283.55934794938275,0.7747701238552646,1.1649684304602668,1.9331870602771688,42.88,8.0,100.0
2,31421197.48677645,193613731.83826137,450108633.20431644,283.55934794938275,283.5593479493828,283.55934794938275,0.7747701238552646,1.1430896209472448,1.9331870602771688,43.1,8.0,97.0
3,31421197.48677645,188568900.72733662,468540623.75787127,283.55934794938275,283.5593479493828,283.55934794938275,0.7747701238552646,1.158909531175752,1.9331870602771688,41.94,8.0,98.0
4,31421197.48677645,140479425.46692786,450108633.20431644,283.55934794938275,283.5593479493828,283.55934794938275,0.7747701238552646,1.2497771881237068,1.9331870602771688,31.64,8.0,96.0
5,31421197.48677645,138902408.29850927,450108633.20431644,283.55934794938275,283.5593479493828,283.55934794938275,0.7747701238552646,1.2886514973723389,1.9331870602771688,31.42,8.0,96.0
6,31421197.48677645,125284933.94782484,450108633.20431644,283.55934794938275,283.5593479493828,283.55934794938275,0.7747701238552646,1.3100576670003263,1.723267487206924,28.54,8.0,96.0
7,31421197.48677645,98396287.48370391,450108633.20431644,283.55934794938275,283.5593479493828,283.55934794938275,0.7747701238552646,1.3871714527836758,1.723267487206924,22.74,8.0,96.0
8,31421197.48677645,97777595.52431439,450108633.20431644,283.55934794938275,283.5593479493828,283.55934794938275,0.7747701238552646,1.397384309375004,1.723267487206924,22.68,8.0,96.0
9,31421197.48677645,79904249.78877774,328791443.91296846,283.55934794938275,283.5593479493828,283.55934794938275,0.754170567358804,1.441367846321778,1.723267487206924,18.72,8.0,73.0
10,31421197.48677645,90095556.2514032,328791443.91296846,283.55934794938275,283.5593479493828,283.55934794938275,0.754170567358804,1.3917366931075685,1.723267487206924,20.84,8.0,73.0
11,31421197.48677645,81775825.10596734,328791443.91296846,283.55934794938275,283.5593479493828,283.55934794938275,0.754170567358804,1.401044466890052,1.723267487206924,18.96,8.0,73.0
12,31421197.48677645,90140266.6117773,328791443.91296846,283.55934794938275,283.5593479493828,283.55934794938275,0.754170567358804,1.3708276990132093,1.723267487206924,20.92,8.0,73.0
13,31421197.48677645,106950521.62855141,328791443.91296846,283.55934794938275,283.5593479493828,283.55934794938275,0.754170567358804,1.2668849349401956,1.723267487206924,24.74,8.0,73.0
14,31421197.48677645,105629934.29957554,328791443.91296846,283.55934794938275,283.5593479493828,283.55934794938275,0.754170567358804,1.261863741265787,1.723267487206924,24.48,8.0,73.0
15,31421197.48677645,113149191.29879726,315278674.59320194,283.55934794938275,283.5593479493828,283.55934794938275,0.7538763958479707,1.1952604694138933,1.723267487206924,26.38,8.0,71.0
16,31421197.48677645,107380442.51709856,315278674.59320194,283.55934794938275,283.5593479493828,283.55934794938275,0.7538763958479707,1.220142222931781,1.723267487206924,25.2,8.0,71.0
17,31421197.48677645,126230373.13979815,315278674.59320194,283.55934794938275,283.5593479493828,283.55934794938275,0.7538763958479707,1.0973468155642951,1.723267487206924,29.48,8.0,71.0
18,31421197.48677645,138743970.26139334,315278674.59320194,283.55934794938275,283.5593479493828,283.55934794938275,0.7538763958479707,1.0496860715961436,1.723267487206924,32.16,8.0,71.0
19,31421197.48677645,136658458.98404485,315278674.59320194,283.55934794938275,283.5593479493828,283.55934794938275,0.7538763958479707,1.0367061535008633,1.723267487206924,32.08,8.0,71.0
20,31421197.48677645,141763155.3534073,315278674.59320194,283.55934794938275,283.5593479493828,283.55934794938275,0.7538763958479707,1.0255227536237623,1.723267487206924,33.1,8.0,71.0
21,31421197.48677645,139393165.69210035,315278674.59320194,283.55934794938275,283.5593479493828,283.55934794938275,0.7538763958479707,1.007200396621436,1.723267487206924,32.76,8.0,71.0
22,31421197.48677645,124609092.63530563,315278674.59320194,283.55934794938275,283.5593479493828,283.55934794938275,0.7538763958479707,1.0252608662800293,1.723267487206924,29.8,8.0,71.0
23,31421197.48677645,128760356.92242464,315278674.59320194,283.55934794938275,283.5593479493828,283.55934794938275,0.7538763958479707,1.02610201025953,1.723267487206924,30.54,8.0,71.0
24,31421197.48677645,125839928.70003635,315278674.59320194,283.55934794938275,283.5593479493828,283.55934794938275,0.7538763958479707,1.036759295635742,1.723267487206924,29.72,8.0,71.0
25,31421197.48677645,122262787.14201099,315278674.59320194,283.55934794938275,283.5593479493828,283.55934794938275,0.7538763958479707,1.0513654035515596,1.723267487206924,28.92,8.0,71.0
26,31421197.48677645,112001815.75193039,315278674.59320194,283.55934794938275,283.5593479493828,283.55934794938275,0.7538763958479707,1.096647167633162,1.723267487206924,26.84,8.0,71.0
27,31421197.48677645,115084539.61972575,315278674.59320194,283.55934794938275,283.5593479493828,283.55934794938275,0.7538763958479707,1.0569110214816324,1.723267487206924,27.58,8.0,71.0
28,31421197.48677645,121493651.22070205,326261796.4066911,283.55934794938275,283.5593479493828,283.55934794938275,0.7501962514443853,1.0482863048608562,1.723267487206924,28.98,8.0,74.0
29,31421197.48677645,130309206.93824944,326261796.4066911,283.55934794938275,283.5593479493828,283.55934794938275,0.7501962514443853,1.0250220177759242,1.723267487206924,30.78,8.0,74.0
30,31421197.48677645,133325554.13809822,326261796.4066911,283.55934794938275,283.5593479493828,283.55934794938275,0.7501962514443853,1.0172382942161122,1.723267487206924,31.38,8.0,74.0
