site_id,location_name,latitude,longitude,demand_category,coverage_evs,density_per_km2,annual_profit_inr,price_per_kwh_inr,capacity_charging_points,setup_cost_inr,grid_upgrade_cost_inr,total_setup_cost_inr,nearest_grid_id,nearest_grid_name,grid_voltage_kv,grid_available_kw,grid_required_kw,grid_capacity_gap_kw,distance_to_grid_km,grid_capacity_ok,site_type
29,,22.762151576334624,75.92833819537441,High,1725.08,21.9644,9695669.42,10.28,8,5546093.572709218,125800.0,5671893.572709218,30,,11.0,252.0,400.0,-148.0,1.6030314470422367,False,mall
35,Pizza Hut,22.7538662,75.897717,High,3538.08,45.0483,19948579.24,10.28,4,2895999.576293878,0.0,2895999.576293878,13,Satya Sai Substation,132.0,36000.0,200.0,35800.0,0.47392637859550873,True,restaurant
41,ATKT cafe,22.7180111,75.9055138,High,1911.47,24.3375,10749727.77,10.28,4,2871756.261006603,0.0,2871756.261006603,17,,11.0,252.0,200.0,52.0,1.904287728642817,True,restaurant
63,Karnawat hotel,22.75719398182501,75.88495770945758,High,4583.71,58.3616,25861815.28,10.28,4,2876007.1189225046,0.0,2876007.1189225046,15,Vijaynagar Substation,11.0,252.0,200.0,52.0,0.13580528977940887,True,restaurant
66,Hunger Pangzzz,22.756232988760942,75.90519471311372,High,2758.2,35.1185,15538173.2,10.28,4,2922233.8342740107,0.0,2922233.8342740107,13,Satya Sai Substation,132.0,36000.0,200.0,35800.0,1.0635371741031834,True,restaurant
76,hazi samosa center,22.7190137,75.8593867,High,1773.07,22.5755,9514604.06,10.0,4,2706470.6635207413,0.0,2706470.6635207413,27,,11.0,252.0,200.0,52.0,1.8921606791562808,True,restaurant
78,Veg Bites Cafe & Restaurant,22.695734301118602,75.83496816638406,High,901.75,11.4815,4809470.74,10.0,6,3723641.4549864917,40800.0,3764441.4549864917,27,,11.0,252.0,300.0,-48.0,2.009852527436004,False,restaurant
81,Taste N Best,22.6729273,75.8766558,High,758.4,9.6562,4035333.35,10.0,8,4693974.005432785,0.0,4693974.005432785,9,Indore SZ,220.0,54000.0,400.0,53600.0,1.529143173449488,True,restaurant
82,Royal Bakery Stores,22.690061982896673,75.86376348595432,High,1271.14,16.1846,6804145.31,10.0,8,4616999.782637364,125800.0,4742799.782637364,24,,11.0,252.0,400.0,-148.0,1.3243246904527197,False,restaurant
109,,22.700538747462364,75.92601925588221,High,504.28,6.4208,2663138.86,10.0,8,4756245.237139989,0.0,4756245.237139989,18,Indore East,220.0,54000.0,400.0,53600.0,0.5375859775274936,True,restaurant
114,,22.707562,75.8785267,High,1826.56,23.2565,9803431.06,10.0,4,2913442.89629466,0.0,2913442.89629466,17,,11.0,252.0,200.0,52.0,1.3584274015696385,True,fuel_station
122,,22.7051042,75.8439517,High,972.83,12.3865,5193285.16,10.0,4,2896375.04166044,0.0,2896375.04166044,27,,11.0,252.0,200.0,52.0,0.8358520894819568,True,fuel_station
146,,22.7234567,75.886833,High,1787.86,22.7637,9946129.8,10.22,8,4735839.50903694,125800.0,4861639.50903694,17,,11.0,252.0,400.0,-148.0,0.7220765575064254,False,fuel_station
148,,22.7240568,75.8892585,High,1808.13,23.0218,10059576.12,10.22,4,2947353.4759787773,0.0,2947353.4759787773,17,,11.0,252.0,200.0,52.0,0.8224662819195071,True,fuel_station
152,,22.7073265,75.8570633,High,969.46,12.3435,5175068.56,10.0,8,4661484.0673854705,125800.0,4787284.0673854705,27,,11.0,252.0,400.0,-148.0,1.613660068659984,False,fuel_station
165,,22.7753617,75.9025817,High,2064.85,26.2905,11617158.04,10.28,8,4947485.118933855,125800.0,5073285.118933855,16,,11.0,252.0,400.0,-148.0,1.0024229286785,False,fuel_station
210,,22.6743546,75.8421401,High,4293.77,54.67,23126366.1,10.0,8,4837518.973230667,125800.0,4963318.973230667,23,,11.0,252.0,400.0,-148.0,1.3962350403549595,False,fuel_station
231,,22.670128259538505,75.88185076020068,High,615.42,7.8358,3263271.28,10.0,4,3071492.7056262344,0.0,3071492.7056262344,9,Indore SZ,220.0,54000.0,200.0,53800.0,0.9787946229135178,True,fuel_station
